t,y,c,cf,trend_intra
1.2,965.96741,2,2,8.12711
1.21,985.75718,2,2,10.6629
1.22,992.61415,2,2,12.2
1.23,986.24253,2,2,11.57934
1.24,967.2593,2,2,10.7007
1.25,929.83404,2,2,9.80636
1.26,876.46487,2,2,8.89633
1.27,801.03573,2,2,7.97061
1.28,703.85947,2,2,7.0292
1.29,574.88951,2,2,6.0721
1.3,414.89112,2,2,5.0993
1.31,251.10542,2,2,4.11082
1.32,128.8165,2,2,3.10665
1.33,78.20075,2,2,2.08679
1.34,48.22324,2,2,1.05124
1.35,24.74523,2,2,0.0
1.36,0.0,0,2,0.0
1.37,0.0,0,2,0.0
1.38,0.0,0,2,0.0
1.39,0.0,0,2,0.0
1.4,0.0,0,2,0.0
1.41,0.0,0,2,0.0
1.42,0.0,0,2,0.0
1.43,0.0,0,2,0.0
1.44,0.0,0,2,0.0
1.45,0.0,0,2,0.0
1.46,0.0,0,2,0.0
1.47,0.0,0,2,0.0
1.48,0.0,0,2,0.0
1.49,0.0,0,2,0.0
1.5,0.0,0,2,0.0
1.51,0.0,0,2,0.0
1.52,0.0,0,2,0.0
1.53,0.0,0,2,0.0
1.54,0.0,0,2,0.0
1.55,0.0,0,2,0.0
1.56,0.0,0,2,0.0
1.57,0.0,0,2,0.0
1.58,0.0,0,2,0.0
1.59,0.0,0,2,0.0
1.6,0.0,0,2,0.0
1.61,0.0,0,2,0.0
1.62,0.0,0,2,0.0
1.63,0.0,0,2,0.0
1.64,0.0,0,2,0.0
1.65,0.0,0,2,0.0
1.66,0.0,0,2,0.0
1.67,0.0,0,2,0.0
1.68,0.0,0,2,0.0
1.69,0.0,0,2,0.0
1.7,31.1804,3,3,0.0
1.71,385.37304,3,3,2.58545
1.72,411.23243,3,3,5.20115
1.73,492.59793,3,3,7.84708
1.74,538.95026,3,3,10.52325
1.75,595.91916,3,3,13.22967
1.76,682.76343,3,3,15.96632
1.77,717.81415,3,3,18.73321
1.78,753.62515,3,3,21.53033
1.79,823.98155,3,3,24.3577
1.8,893.82033,3,3,27.21531
1.81,943.16441,3,3,30.10316
1.82,969.17566,3,3,33.02124
1.83,977.17449,3,3,35.96957
1.84,969.84237,3,3,38.94813
1.85,954.01128,3,3,41.95694
1.86,938.44887,3,3,44.64
1.87,912.25659,3,3,43.50807
1.88,872.719,3,3,39.00325
1.89,828.55354,3,3,34.44804
1.9,782.82622,3,3,29.84242
1.91,739.8676,3,3,25.18641
1.92,700.24848,3,3,20.48
1.93,664.27384,3,3,15.72319
1.94,631.58928,3,3,10.91598
1.95,601.96743,3,3,6.05837
1.96,576.84697,3,3,1.15037
1.97,556.42419,3,3,-3.80804
1.98,537.19724,3,3,-8.81684
1.99,521.54718,3,3,-13.87604
2.0,510.55328,3,3,-18.98565
2.01,501.04964,3,3,-24.14565
2.02,498.91311,3,3,-29.35604
2.03,502.88424,3,3,-32.48
2.04,520.84172,3,3,-30.69435
2.05,546.60129,3,3,-27.487
2.06,578.04868,3,3,-24.24689
2.07,613.91948,3,3,-20.97402
2.08,651.97245,3,3,-17.66839
2.09,691.17832,3,3,-14.33
2.1,732.72831,3,3,-10.95885
2.11,773.08114,3,3,-7.55494
2.12,811.63051,3,3,-4.11828
2.13,848.83649,3,3,-0.64885
2.14,885.45975,3,3,2.85333
2.15,920.35918,3,3,6.38828
2.16,950.34477,3,3,9.95598
2.17,976.30575,3,3,13.55644
2.18,995.85435,3,3,17.18967
2.19,1007.19396,3,3,20.85565
2.2,1008.71414,3,3,22.0
2.21,1001.13024,3,3,20.88397
2.22,985.10379,3,3,19.5799
2.23,956.90694,3,3,18.26324
2.24,918.78779,3,3,16.93397
2.25,868.28109,3,3,15.59211
2.26,803.95251,3,3,14.23764
2.27,725.29576,3,3,12.87057
2.28,624.47881,3,3,11.49091
2.29,503.28025,3,3,10.09864
2.3,368.41076,3,3,8.69378
2.31,239.65884,3,3,7.27632
2.32,139.36955,3,3,5.84625
2.33,93.37377,3,3,4.40359
2.34,61.16483,3,3,2.94833
2.35,40.37895,3,3,1.48046
2.36,20.39322,3,3,0.0
2.37,0.0,0,3,0.0
2.38,0.0,0,3,0.0
2.39,0.0,0,3,0.0
2.4,0.0,0,3,0.0
2.41,0.0,0,3,0.0
2.42,0.0,0,3,0.0
2.43,0.0,0,3,0.0
2.44,0.0,0,3,0.0
2.45,0.0,0,3,0.0
2.46,0.0,0,3,0.0
2.47,0.0,0,3,0.0
2.48,0.0,0,3,0.0
2.49,0.0,0,3,0.0
2.5,0.0,0,3,0.0
2.51,0.0,0,3,0.0
2.52,0.0,0,3,0.0
2.53,0.0,0,3,0.0
2.54,0.0,0,3,0.0
2.55,0.0,0,3,0.0
2.56,0.0,0,3,0.0
2.57,0.0,0,3,0.0
2.58,0.0,0,3,0.0
2.59,0.0,0,3,0.0
2.6,0.0,0,3,0.0
2.61,0.0,0,3,0.0
2.62,0.0,0,3,0.0
2.63,0.0,0,3,0.0
2.64,0.0,0,3,0.0
2.65,0.0,0,3,0.0
2.66,0.0,0,3,0.0
2.67,0.0,0,3,0.0
2.68,0.0,0,3,0.0
2.69,0.0,0,3,0.0
2.7,266.08635,4,4,0.0
2.71,442.42536,4,4,4.66258
2.72,482.18222,4,4,9.35956
2.73,544.8993,4,4,14.09096
2.74,617.99203,4,4,18.85677
2.75,704.8931,4,4,23.65699
2.76,740.15319,4,4,28.49162
2.77,805.12286,4,4,33.36065
2.78,888.6135,4,4,38.2641
2.79,954.19267,4,4,43.20196
2.8,988.62193,4,4,48.17423
2.81,999.24902,4,4,53.18091
2.82,990.10382,4,4,58.222
2.83,974.16735,4,4,63.2975
2.84,954.44253,4,4,68.16
2.85,913.04237,4,4,65.81379
2.86,860.8994,4,4,57.84363
2.87,806.47727,4,4,49.81612
2.88,754.84462,4,4,41.73125
2.89,707.55806,4,4,33.58904
2.9,664.76362,4,4,25.38947
2.91,625.41416,4,4,17.13256
2.92,592.13223,4,4,8.81829
2.93,563.5795,4,4,0.44668
2.94,538.64791,4,4,-7.98229
2.95,517.73824,4,4,-16.4686
2.96,502.0027,4,4,-25.01227
2.97,489.55557,4,4,-33.61328
2.98,485.684,4,4,-42.27165
2.99,496.58981,4,4,-47.84
3.0,523.5471,4,4,-44.46098
3.01,558.94732,4,4,-38.99889
3.02,599.87932,4,4,-33.49953
3.03,644.16671,4,4,-27.96289
3.04,690.55291,4,4,-22.38897
3.05,737.55548,4,4,-16.77777
3.06,784.44106,4,4,-11.12929
3.07,827.91347,4,4,-5.44354
3.08,870.9946,4,4,0.27949
3.09,912.03816,4,4,6.0398
3.1,947.4007,4,4,11.83739
3.11,977.30668,4,4,17.67225
3.12,998.92818,4,4,23.54439
3.13,1008.97136,4,4,29.45381
3.14,1004.28684,4,4,31.4
3.15,989.09784,4,4,29.35617
3.16,959.58322,4,4,27.18403
3.17,915.94961,4,4,24.99755
3.18,857.03995,4,4,22.79673
3.19,781.49102,4,4,20.58158
3.2,681.86297,4,4,18.35209
3.21,559.07961,4,4,16.10826
3.22,409.32197,4,4,13.85009
3.23,256.9792,4,4,11.57759
3.24,141.7378,4,4,9.29074
3.25,90.8559,4,4,6.98956
3.26,58.37661,4,4,4.67405
3.27,35.29456,4,4,2.34419
3.28,6.08447,4,4,0.0
3.29,0.0,0,4,0.0
3.3,0.0,0,4,0.0
3.31,0.0,0,4,0.0
3.32,0.0,0,4,0.0
3.33,0.0,0,4,0.0
3.34,0.0,0,4,0.0
3.35,0.0,0,4,0.0
3.36,0.0,0,4,0.0
3.37,0.0,0,4,0.0
3.38,0.0,0,4,0.0
3.39,0.0,0,4,0.0
3.4,0.0,0,4,0.0
3.41,0.0,0,4,0.0
3.42,0.0,0,4,0.0
3.43,0.0,0,4,0.0
3.44,0.0,0,4,0.0
3.45,0.0,0,4,0.0
3.46,0.0,0,4,0.0
3.47,0.0,0,4,0.0
3.48,0.0,0,4,0.0
3.49,0.0,0,4,0.0
3.5,0.0,0,4,0.0
3.51,0.0,0,4,0.0
3.52,0.0,0,4,0.0
3.53,0.0,0,4,0.0
3.54,0.0,0,4,0.0
3.55,0.0,0,4,0.0
3.56,0.0,0,4,0.0
3.57,0.0,0,4,0.0
3.58,0.0,0,4,0.0
3.59,0.0,0,4,0.0
3.6,4.49317,5,4,0.0
3.61,261.00318,5,5,5.29765
3.62,463.41954,5,5,10.62464
3.63,451.92117,5,5,15.98099
3.64,546.43034,5,5,21.36669
3.65,569.99748,5,5,26.78173
3.66,654.75842,5,5,32.22613
3.67,719.75374,5,5,37.69988
3.68,749.35513,5,5,43.20297
3.69,804.03317,5,5,48.73542
3.7,877.49485,5,5,54.29721
3.71,942.54218,5,5,59.88836
3.72,988.31456,5,5,65.50885
3.73,1009.22384,5,5,71.1587
3.74,1017.38302,5,5,76.83789
3.75,1009.16104,5,5,82.54644
3.76,996.70634,5,5,88.28433
3.77,982.79835,5,5,90.48
3.78,953.97751,5,5,83.46427
3.79,909.40701,5,5,74.41542
3.8,861.68113,5,5,65.31765
3.81,812.34649,5,5,56.17096
3.82,765.84224,5,5,46.97536
3.83,722.50729,5,5,37.73084
3.84,682.62036,5,5,28.4374
3.85,645.84094,5,5,19.09505
3.86,611.82821,5,5,9.70378
3.87,582.09903,5,5,0.26359
3.88,556.62337,5,5,-9.22551
3.89,532.64992,5,5,-18.76353
3.9,512.31362,5,5,-28.35046
3.91,495.92975,5,5,-37.98632
3.92,481.00014,5,5,-47.67108
3.93,471.59784,5,5,-57.40477
3.94,470.21439,5,5,-63.04
3.95,482.69905,5,5,-59.62299
3.96,508.75222,5,5,-53.47839
3.97,540.72084,5,5,-47.302
3.98,576.42724,5,5,-41.09381
3.99,616.19051,5,5,-34.85382
4.0,656.81137,5,5,-28.58204
4.01,700.35407,5,5,-22.27847
4.02,742.09325,5,5,-15.9431
4.03,784.47182,5,5,-9.57593
4.04,824.1365,5,5,-3.17697
4.05,863.68497,5,5,3.25379
4.06,901.82015,5,5,9.71635
4.07,937.84072,5,5,16.2107
4.08,968.70113,5,5,22.73684
4.09,995.76842,5,5,29.29478
4.1,1016.14115,5,5,35.88452
4.11,1027.56136,5,5,41.1
4.12,1027.78811,5,5,40.30712
4.13,1017.71414,5,5,37.87964
4.14,999.51707,5,5,35.43994
4.15,969.0095,5,5,32.988
4.16,929.97467,5,5,30.52384
4.17,877.80448,5,5,28.04745
4.18,813.7541,5,5,25.55882
4.19,734.73033,5,5,23.05797
4.2,635.43561,5,5,20.54489
4.21,516.55811,5,5,18.01958
4.22,384.09107,5,5,15.48204
4.23,256.07317,5,5,12.93228
4.24,154.96384,5,5,10.37028
4.25,103.00853,5,5,7.79605
4.26,68.14532,5,5,5.2096
4.27,45.278,5,5,2.61091
4.28,25.15292,5,5,0.0
4.29,0.0,0,5,0.0
4.3,0.0,0,5,0.0
4.31,0.0,0,5,0.0
4.32,0.0,0,5,0.0
4.33,0.0,0,5,0.0
4.34,0.0,0,5,0.0
4.35,0.0,0,5,0.0
4.36,0.0,0,5,0.0
4.37,0.0,0,5,0.0
4.38,0.0,0,5,0.0
4.39,0.0,0,5,0.0
4.4,0.0,0,5,0.0
4.41,0.0,0,5,0.0
4.42,0.0,0,5,0.0
4.43,0.0,0,5,0.0
4.44,0.0,0,5,0.0
4.45,0.0,0,5,0.0
4.46,0.0,0,5,0.0
4.47,0.0,0,5,0.0
4.48,0.0,0,5,0.0
4.49,0.0,0,5,0.0
4.5,0.0,0,5,0.0
4.51,0.0,0,5,0.0
4.52,0.0,0,5,0.0
4.53,0.0,0,5,0.0
4.54,0.0,0,5,0.0
4.55,0.0,0,5,0.0
4.56,0.0,0,5,0.0
4.57,0.0,0,5,0.0
4.58,0.0,0,5,0.0
4.59,0.0,0,5,0.0
4.6,0.0,0,5,0.0
4.61,0.0,0,5,0.0
4.62,0.0,0,5,0.0
4.63,0.0,0,5,0.0
4.64,0.0,0,5,0.0
4.65,5.12597,6,5,0.0
4.66,286.22781,6,6,7.62326
4.67,447.73459,6,6,15.27924
4.68,486.29852,6,6,22.96794
4.69,558.94877,6,6,30.68935
4.7,623.14745,6,6,38.44349
4.71,719.48953,6,6,46.23034
4.72,759.14829,6,6,54.04991
4.73,815.66261,6,6,61.90219
4.74,899.53333,6,6,69.7872
4.75,973.17545,6,6,77.70492
4.76,1018.98984,6,6,85.65536
4.77,1040.76588,6,6,93.63852
4.78,1042.36684,6,6,101.65439
4.79,1031.32875,6,6,109.70299
4.8,1019.8592,6,6,115.2
4.81,989.72518,6,6,108.13577
4.82,938.68008,6,6,95.21891
4.83,882.56486,6,6,82.24752
4.84,824.74387,6,6,69.2216
4.85,771.01431,6,6,56.14116
4.86,721.1614,6,6,43.00618
4.87,675.73338,6,6,29.81667
4.88,633.17767,6,6,16.57263
4.89,596.1205,6,6,3.27406
4.9,563.96654,6,6,-10.07903
4.91,534.35713,6,6,-23.48666
4.92,508.5679,6,6,-36.94882
4.93,487.82442,6,6,-50.4655
4.94,469.77185,6,6,-64.03672
4.95,459.9887,6,6,-77.66247
4.96,466.64471,6,6,-78.35858
4.97,493.05837,6,6,-69.70865
4.98,529.43623,6,6,-61.02326
4.99,570.5121,6,6,-52.30243
5.0,616.18706,6,6,-43.54616
5.01,663.05997,6,6,-34.75444
5.02,712.91028,6,6,-25.92728
5.03,761.38501,6,6,-17.06468
5.04,807.99288,6,6,-8.16663
5.05,853.4231,6,6,0.76687
5.06,897.80611,6,6,9.73581
5.07,939.59542,6,6,18.74019
5.08,975.19526,6,6,27.78002
5.09,1006.03882,6,6,36.85529
5.1,1026.95269,6,6,45.96601
5.11,1035.3739,6,6,51.1
5.12,1028.16777,6,6,48.85867
5.13,1009.9696,6,6,45.45738
5.14,978.06745,6,6,42.04245
5.15,934.33701,6,6,38.61389
5.16,874.46986,6,6,35.1717
5.17,800.2307,6,6,31.71588
5.18,702.47353,6,6,28.24642
5.19,583.60951,6,6,24.76333
5.2,439.11886,6,6,21.26661
5.21,290.28514,6,6,17.75626
5.22,170.4725,6,6,14.23227
5.23,105.94738,6,6,10.69465
5.24,67.1827,6,6,7.1434
5.25,42.0651,6,6,3.57852
5.26,17.2398,6,6,0.0
5.27,0.0,0,6,0.0
5.28,0.0,0,6,0.0
5.29,0.0,0,6,0.0
5.3,0.0,0,6,0.0
5.31,0.0,0,6,0.0
5.32,0.0,0,6,0.0
5.33,0.0,0,6,0.0
5.34,0.0,0,6,0.0
5.35,0.0,0,6,0.0
5.36,0.0,0,6,0.0
5.37,0.0,0,6,0.0
5.38,0.0,0,6,0.0
5.39,0.0,0,6,0.0
5.4,0.0,0,6,0.0
5.41,0.0,0,6,0.0
5.42,0.0,0,6,0.0
5.43,0.0,0,6,0.0
5.44,0.0,0,6,0.0
5.45,0.0,0,6,0.0
5.46,0.0,0,6,0.0
5.47,0.0,0,6,0.0
5.48,0.0,0,6,0.0
5.49,0.0,0,6,0.0
5.5,0.0,0,6,0.0
5.51,0.0,0,6,0.0
5.52,0.0,0,6,0.0
5.53,0.0,0,6,0.0
5.54,0.0,0,6,0.0
5.55,0.0,0,6,0.0
5.56,0.0,0,6,0.0
5.57,0.0,0,6,0.0
5.58,154.62158,7,7,0.0
5.59,474.08136,7,7,9.78637
5.6,470.11309,7,7,19.60776
5.61,557.96665,7,7,29.46416
5.62,617.94279,7,7,39.35557
5.63,719.35417,7,7,49.28199
5.64,760.18214,7,7,59.24343
5.65,825.63436,7,7,69.23989
5.66,914.36254,7,7,79.27136
5.67,987.49955,7,7,89.33784
5.68,1027.73394,7,7,99.43934
5.69,1043.60793,7,7,109.57584
5.7,1039.0233,7,7,119.74737
5.71,1027.13133,7,7,129.95391
5.72,1008.82584,7,7,137.28
5.73,958.93704,7,7,127.99645
5.74,896.90892,7,7,111.47154
5.75,832.83384,7,7,94.88827
5.76,771.96376,7,7,78.24665
5.77,715.89279,7,7,61.54667
5.78,664.62485,7,7,44.78833
5.79,616.97109,7,7,27.97163
5.8,575.52857,7,7,11.09658
5.81,539.84364,7,7,-5.83682
5.82,506.92832,7,7,-22.82859
5.83,478.65085,7,7,-39.87871
5.84,455.08367,7,7,-56.98718
5.85,436.99158,7,7,-74.15402
5.86,429.82964,7,7,-91.37921
5.87,447.46617,7,7,-92.36984
5.88,484.25001,7,7,-81.37529
5.89,528.24408,7,7,-70.34281
5.9,578.38282,7,7,-59.27239
5.91,630.27091,7,7,-48.16404
5.92,685.82006,7,7,-37.01777
5.93,739.2427,7,7,-25.83355
5.94,791.91412,7,7,-14.61141
5.95,842.39197,7,7,-3.35134
5.96,891.8687,7,7,7.94667
5.97,938.3329,7,7,19.2826
5.98,977.87762,7,7,30.65647
5.99,1011.2741,7,7,42.06827
6.0,1034.27376,7,7,53.51801
6.01,1039.3901,7,7,60.1
6.02,1027.52506,7,7,57.08717
6.03,1002.89764,7,7,52.78338
6.04,963.39316,7,7,48.465
6.05,909.10238,7,7,44.13204
6.06,835.47421,7,7,39.78449
6.07,745.77124,7,7,35.42235
6.08,626.22907,7,7,31.04561
6.09,478.34837,7,7,26.65429
6.1,319.98171,7,7,22.24838
6.11,184.11005,7,7,17.82789
6.12,110.49407,7,7,13.3928
6.13,69.52573,7,7,8.94312
6.14,42.32121,7,7,4.47886
6.15,14.94676,7,7,0.0
6.16,0.0,0,7,0.0
6.17,0.0,0,7,0.0
6.18,0.0,0,7,0.0
6.19,0.0,0,7,0.0
6.2,0.0,0,7,0.0
6.21,0.0,0,7,0.0
6.22,0.0,0,7,0.0
6.23,0.0,0,7,0.0
6.24,0.0,0,7,0.0
6.25,0.0,0,7,0.0
6.26,0.0,0,7,0.0
6.27,0.0,0,7,0.0
6.28,0.0,0,7,0.0
6.29,0.0,0,7,0.0
6.3,0.0,0,7,0.0
6.31,0.0,0,7,0.0
6.32,0.0,0,7,0.0
6.33,0.0,0,7,0.0
6.34,0.0,0,7,0.0
6.35,0.0,0,7,0.0
6.36,0.0,0,7,0.0
6.37,0.0,0,7,0.0
6.38,0.0,0,7,0.0
6.39,0.0,0,7,0.0
6.4,0.0,0,7,0.0
6.41,0.0,0,7,0.0
6.42,0.0,0,7,0.0
6.43,0.0,0,7,0.0
6.44,0.0,0,7,0.0
6.45,0.0,0,7,0.0
6.46,27.75731,8,8,0.0
6.47,399.39593,8,8,10.76063
6.48,425.32857,8,8,21.55453
6.49,541.75107,8,8,32.38168
6.5,579.45913,8,8,43.24211
6.51,675.8729,8,8,54.13579
6.52,751.00203,8,8,65.06274
6.53,792.26537,8,8,76.02295
6.54,870.0252,8,8,87.01642
6.55,957.17498,8,8,98.04316
6.56,1020.86376,8,8,109.10316
6.57,1055.34141,8,8,120.19642
6.58,1070.00918,8,8,131.32295
6.59,1064.25517,8,8,142.48274
6.6,1054.84078,8,8,153.67579
6.61,1036.25648,8,8,158.64
6.62,984.91031,8,8,144.01404
6.63,922.59688,8,8,125.85368
6.64,858.22746,8,8,107.63789
6.65,796.69502,8,8,89.36667
6.66,739.3886,8,8,71.04
6.67,686.40762,8,8,52.65789
6.68,636.9972,8,8,34.22035
6.69,593.15435,8,8,15.72737
6.7,553.76045,8,8,-2.82105
6.71,518.74694,8,8,-21.42491
6.72,487.4066,8,8,-40.08421
6.73,461.01732,8,8,-58.79895
6.74,437.00909,8,8,-77.56912
6.75,422.06152,8,8,-96.39474
6.76,424.94662,8,8,-108.16
6.77,454.07918,8,8,-100.75423
6.78,495.32934,8,8,-88.68716
6.79,541.28386,8,8,-76.58405
6.8,592.24106,8,8,-64.44491
6.81,644.38862,8,8,-52.26974
6.82,699.46799,8,8,-40.05853
6.83,753.13191,8,8,-27.81128
6.84,804.68424,8,8,-15.528
6.85,855.07188,8,8,-3.20868
6.86,904.07407,8,8,9.14667
6.87,950.16876,8,8,21.53805
6.88,989.48216,8,8,33.96547
6.89,1023.10199,8,8,46.42893
6.9,1047.03537,8,8,58.92842
6.91,1053.67234,8,8,69.1
6.92,1042.92031,8,8,67.13614
6.93,1021.03537,8,8,62.43079
6.94,983.63114,8,8,57.71158
6.95,933.92824,8,8,52.97851
6.96,867.22805,8,8,48.23158
6.97,786.87101,8,8,43.47079
6.98,676.41135,8,8,38.69614
6.99,546.4862,8,8,33.90763
7.0,393.23642,8,8,29.10526
7.01,247.2327,8,8,24.28904
7.02,140.83295,8,8,19.45895
7.03,90.00877,8,8,14.615
7.04,57.6013,8,8,9.75719
7.05,32.38727,8,8,4.88553
7.06,0.59978,8,8,0.0
7.07,0.0,0,8,0.0
7.08,0.0,0,8,0.0
7.09,0.0,0,8,0.0
7.1,0.0,0,8,0.0
7.11,0.0,0,8,0.0
7.12,0.0,0,8,0.0
7.13,0.0,0,8,0.0
7.14,0.0,0,8,0.0
7.15,0.0,0,8,0.0
7.16,0.0,0,8,0.0
7.17,0.0,0,8,0.0
7.18,0.0,0,8,0.0
7.19,0.0,0,8,0.0
7.2,0.0,0,8,0.0
7.21,0.0,0,8,0.0
7.22,0.0,0,8,0.0
7.23,0.0,0,8,0.0
7.24,0.0,0,8,0.0
7.25,0.0,0,8,0.0
7.26,0.0,0,8,0.0
7.27,0.0,0,8,0.0
7.28,0.0,0,8,0.0
7.29,0.0,0,8,0.0
7.3,0.0,0,8,0.0
7.31,0.0,0,8,0.0
7.32,0.0,0,8,0.0
7.33,0.0,0,8,0.0
7.34,0.0,0,8,0.0
7.35,0.0,0,8,0.0
7.36,0.0,0,8,0.0
7.37,0.0,0,8,0.0
7.38,0.0,0,8,0.0
7.39,0.0,0,8,0.0
7.4,0.0,0,8,0.0
7.41,9.19949,9,8,0.0
7.42,372.75362,9,9,16.09648
7.43,449.12645,9,9,32.23634
7.44,567.88371,9,9,48.41959
7.45,665.37223,9,9,64.64622
7.46,768.24155,9,9,80.91625
7.47,835.46206,9,9,97.22966
7.48,952.29296,9,9,113.58645
7.49,1043.33215,9,9,129.98664
7.5,1086.13693,9,9,146.43021
7.51,1094.02159,9,9,162.91716
7.52,1084.7864,9,9,179.44751
7.53,1054.93944,9,9,171.07057
7.54,978.19004,9,9,144.03643
7.55,892.65261,9,9,116.92998
7.56,810.28622,9,9,89.75121
7.57,735.13656,9,9,62.50014
7.58,666.74173,9,9,35.17675
7.59,605.99955,9,9,7.78105
7.6,554.35625,9,9,-19.68696
7.61,507.18905,9,9,-47.22728
7.62,468.2252,9,9,-74.83991
7.63,435.81484,9,9,-102.52485
7.64,421.98161,9,9,-122.24
7.65,454.81828,9,9,-109.65584
7.66,510.40793,9,9,-91.7973
7.67,574.90199,9,9,-73.89176
7.68,643.55669,9,9,-55.93922
7.69,715.67752,9,9,-37.93968
7.7,786.85012,9,9,-19.89314
7.71,853.71655,9,9,-1.79959
7.72,919.11491,9,9,16.34096
7.73,977.87484,9,9,34.52851
7.74,1026.94219,9,9,52.76307
7.75,1060.77142,9,9,71.04462
7.76,1064.26376,9,9,77.15606
7.77,1041.08219,9,9,70.23227
7.78,994.7818,9,9,63.29039
7.79,926.38059,9,9,56.33043
7.8,828.53494,9,9,49.3524
7.81,693.84319,9,9,42.35629
7.82,518.90936,9,9,35.34211
7.83,316.77861,9,9,28.30984
7.84,154.30821,9,9,21.2595
7.85,85.61936,9,9,14.19108
7.86,46.96817,9,9,7.10458
7.87,12.66788,9,9,0.0
7.88,0.0,0,9,0.0
7.89,0.0,0,9,0.0
7.9,0.0,0,9,0.0
7.91,0.0,0,9,0.0
7.92,0.0,0,9,0.0
7.93,0.0,0,9,0.0
7.94,0.0,0,9,0.0
7.95,0.0,0,9,0.0
7.96,0.0,0,9,0.0
7.97,0.0,0,9,0.0
7.98,0.0,0,9,0.0
