t,y,trend
2.72,0.79661,0.272
2.73,0.75245,0.273
2.74,0.68753,0.274
2.75,0.59833,0.275
2.76,0.48494,0.276
2.77,0.35091,0.277
2.78,0.20233,0.278
2.79,0.04638,0.279
2.8,-0.11013,0.28
2.81,-0.26182,0.281
2.82,-0.405,0.282
2.83,-0.53712,0.283
2.84,-0.65584,0.284
2.85,-0.75833,0.285
2.86,-0.84103,0.286
2.87,-0.90013,0.287
2.88,-0.93232,0.288
2.89,-0.93563,0.289
2.9,-0.90984,0.29
2.91,-0.85631,0.291
2.92,-0.77752,0.292
2.93,-0.67629,0.293
2.94,-0.55548,0.294
2.95,-0.41776,0.295
2.96,-0.2658,0.296
2.97,-0.10245,0.297
2.98,0.06913,0.298
2.99,0.24554,0.299
3.0,0.42341,0.3
3.01,0.59935,0.301
3.02,0.7702,0.302
3.03,0.93263,0.303
3.04,1.08312,0.304
3.05,1.21807,0.305
3.06,1.33379,0.306
3.07,1.42727,0.307
3.08,1.49658,0.308
3.09,1.54142,0.309
3.1,1.5632,0.31
3.11,1.56472,0.311
3.12,1.54946,0.312
3.13,1.5208,0.313
3.14,1.48107,0.314
3.15,1.43119,0.315
3.16,1.37037,0.316
3.17,1.2967,0.317
3.18,1.20763,0.318
3.19,1.1012,0.319
3.2,0.97671,0.32
3.21,0.83548,0.321
3.22,0.68105,0.322
3.23,0.51886,0.323
3.24,0.35541,0.324
3.25,0.19747,0.325
3.26,0.05088,0.326
3.27,-0.07998,0.327
3.28,-0.19256,0.328
3.29,-0.28572,0.329
3.3,-0.35955,0.33
3.31,-0.41497,0.331
3.32,-0.45335,0.332
3.33,-0.47679,0.333
3.34,-0.48813,0.334
3.35,-0.49089,0.335
3.36,-0.48887,0.336
3.37,-0.48531,0.337
3.38,-0.4819,0.338
3.39,-0.47795,0.339
3.4,-0.47032,0.34
3.41,-0.45382,0.341
3.42,-0.42277,0.342
3.43,-0.37246,0.343
3.44,-0.30067,0.344
3.45,-0.20821,0.345
3.46,-0.09868,0.346
3.47,0.02265,0.347
3.48,0.1503,0.348
3.49,0.27983,0.349
3.5,0.40837,0.35
3.51,0.53452,0.351
3.52,0.65767,0.352
3.53,0.77705,0.353
3.54,0.89098,0.354
3.55,0.99687,0.355
3.56,1.09135,0.356
3.57,1.17106,0.357
3.58,1.23309,0.358
3.59,1.27561,0.359
3.6,1.298,0.36
3.61,1.30082,0.361
3.62,1.28555,0.362
3.63,1.25432,0.363
3.64,1.20945,0.364
3.65,1.15327,0.365
3.66,1.0877,0.366
3.67,1.014,0.367
3.68,0.93282,0.368
3.69,0.84407,0.369
3.7,0.74711,0.37
3.71,0.64125,0.371
3.72,0.52625,0.372
3.73,0.40296,0.373
3.74,0.27357,0.374
3.75,0.14184,0.375
3.76,0.0126,0.376
3.77,-0.10882,0.377
3.78,-0.21726,0.378
3.79,-0.30846,0.379
3.8,-0.37962,0.38
3.81,-0.42944,0.381
3.82,-0.45819,0.382
3.83,-0.46742,0.383
3.84,-0.45944,0.384
3.85,-0.43705,0.385
3.86,-0.40284,0.386
3.87,-0.35874,0.387
3.88,-0.30562,0.388
3.89,-0.24357,0.389
3.9,-0.17188,0.39
3.91,-0.09012,0.391
3.92,0.00139,0.392
3.93,0.10102,0.393
3.94,0.20587,0.394
3.95,0.3123,0.395
3.96,0.41683,0.396
3.97,0.51684,0.397
3.98,0.611,0.398
3.99,0.69937,0.399
4.0,0.78282,0.4
4.01,0.86227,0.401
4.02,0.93797,0.402
4.03,1.009,0.403
4.04,1.07335,0.404
4.05,1.12827,0.405
4.06,1.17107,0.406
4.07,1.19991,0.407
4.08,1.21458,0.408
4.09,1.21674,0.409
4.1,1.20961,0.41
4.11,1.19733,0.411
4.12,1.18377,0.412
4.13,1.17138,0.413
4.14,1.16086,0.414
4.15,1.15096,0.415
4.16,1.13917,0.416
4.17,1.12272,0.417
4.18,1.09927,0.418
4.19,1.06735,0.419
4.2,1.02621,0.42
4.21,0.97512,0.421
4.22,0.91279,0.422
4.23,0.83728,0.423
4.24,0.74623,0.424
4.25,0.63746,0.425
4.26,0.51049,0.426
4.27,0.36701,0.427
4.28,0.21152,0.428
4.29,0.05105,0.429
4.3,-0.10569,0.43
4.31,-0.24941,0.431
4.32,-0.37149,0.432
4.33,-0.46496,0.433
4.34,-0.52522,0.434
4.35,-0.55012,0.435
4.36,-0.53989,0.436
4.37,-0.49681,0.437
4.38,-0.42491,0.438
4.39,-0.3296,0.439
4.4,-0.21718,0.44
4.41,-0.09441,0.441
4.42,0.03199,0.442
4.43,0.156,0.443
4.44,0.27298,0.444
4.45,0.37998,0.445
4.46,0.47612,0.446
4.47,0.56256,0.447
4.48,0.64219,0.448
4.49,0.71884,0.449
4.5,0.79654,0.45
4.51,0.87831,0.451
4.52,0.96554,0.452
4.53,1.0575,0.453
4.54,1.15172,0.454
4.55,1.24437,0.455
4.56,1.33147,0.456
4.57,1.40943,0.457
4.58,1.47563,0.458
4.59,1.52863,0.459
4.6,1.5679,0.46
4.61,1.5935,0.461
4.62,1.6056,0.462
4.63,1.60436,0.463
4.64,1.58921,0.464
4.65,1.55902,0.465
4.66,1.51172,0.466
4.67,1.44498,0.467
4.68,1.35689,0.468
4.69,1.24697,0.469
4.7,1.1172,0.47
4.71,0.97226,0.471
4.72,0.8193,0.472
4.73,0.66677,0.473
4.74,0.52293,0.474
4.75,0.39419,0.475
4.76,0.28403,0.476
4.77,0.19276,0.477
4.78,0.11772,0.478
4.79,0.0542,0.479
4.8,-0.00331,0.48
4.81,-0.05999,0.481
4.82,-0.11962,0.482
4.83,-0.18387,0.483
4.84,-0.25171,0.484
4.85,-0.3196,0.485
4.86,-0.38196,0.486
4.87,-0.43236,0.487
4.88,-0.4648,0.488
4.89,-0.47523,0.489
4.9,-0.4623,0.49
4.91,-0.42752,0.491
4.92,-0.37425,0.492
4.93,-0.30627,0.493
4.94,-0.22627,0.494
4.95,-0.135,0.495
4.96,-0.03139,0.496
4.97,0.08646,0.497
4.98,0.21925,0.498
4.99,0.36521,0.499
5.0,0.5189,0.5
5.01,0.67225,0.501
5.02,0.81567,0.502
5.03,0.94063,0.503
5.04,1.04157,0.504
5.05,1.11706,0.505
5.06,1.17001,0.506
5.07,1.20622,0.507
5.08,1.2325,0.508
5.09,1.25433,0.509
5.1,1.2745,0.51
5.11,1.29221,0.511
5.12,1.30387,0.512
5.13,1.30462,0.513
5.14,1.29035,0.514
5.15,1.25918,0.515
5.16,1.21219,0.516
5.17,1.15292,0.517
5.18,1.0859,0.518
5.19,1.01485,0.519
5.2,0.94146,0.52
5.21,0.86483,0.521
5.22,0.78205,0.522
5.23,0.68976,0.523
5.24,0.58555,0.524
5.25,0.46923,0.525
5.26,0.34327,0.526
5.27,0.21255,0.527
5.28,0.08332,0.528
5.29,-0.03793,0.529
5.3,-0.14571,0.53
5.31,-0.23615,0.531
5.32,-0.30743,0.532
5.33,-0.3594,0.533
5.34,-0.39319,0.534
5.35,-0.41028,0.535
5.36,-0.41248,0.536
5.37,-0.40121,0.537
5.38,-0.37768,0.538
5.39,-0.3427,0.539
5.4,-0.29687,0.54
5.41,-0.24049,0.541
5.42,-0.17386,0.542
5.43,-0.09754,0.543
5.44,-0.01254,0.544
5.45,0.07947,0.545
5.46,0.1764,0.546
5.47,0.27586,0.547
5.48,0.37579,0.548
5.49,0.47459,0.549
5.5,0.5714,0.55
5.51,0.66562,0.551
5.52,0.75668,0.552
5.53,0.84378,0.553
5.54,0.92575,0.554
5.55,1.00153,0.555
5.56,1.07048,0.556
5.57,1.13262,0.557
5.58,1.18856,0.558
5.59,1.2392,0.559
5.6,1.28501,0.56
5.61,1.32533,0.561
5.62,1.3582,0.562
5.63,1.38052,0.563
5.64,1.38863,0.564
5.65,1.37936,0.565
5.66,1.35075,0.566
5.67,1.30281,0.567
5.68,1.23742,0.568
5.69,1.15757,0.569
5.7,1.06649,0.57
5.71,0.96698,0.571
5.72,0.86069,0.572
5.73,0.74847,0.573
5.74,0.63093,0.574
5.75,0.50921,0.575
5.76,0.38557,0.576
5.77,0.26364,0.577
5.78,0.14795,0.578
5.79,0.04316,0.579
5.8,-0.04708,0.58
5.81,-0.12081,0.581
5.82,-0.17838,0.582
5.83,-0.22234,0.583
5.84,-0.2564,0.584
5.85,-0.28461,0.585
5.86,-0.30976,0.586
5.87,-0.33263,0.587
5.88,-0.35154,0.588
5.89,-0.36282,0.589
5.9,-0.36203,0.59
5.91,-0.34506,0.591
5.92,-0.30932,0.592
5.93,-0.2542,0.593
5.94,-0.18074,0.594
5.95,-0.09105,0.595
5.96,0.01233,0.596
5.97,0.1268,0.597
5.98,0.24955,0.598
5.99,0.37756,0.599
6.0,0.50688,0.6
6.01,0.63312,0.601
6.02,0.75173,0.602
6.03,0.85883,0.603
6.04,0.9519,0.604
6.05,1.03026,0.605
6.06,1.09494,0.606
6.07,1.14842,0.607
6.08,1.19387,0.608
6.09,1.23442,0.609
6.1,1.27237,0.61
6.11,1.30848,0.611
6.12,1.34176,0.612
6.13,1.36961,0.613
6.14,1.38824,0.614
6.15,1.39401,0.615
6.16,1.38444,0.616
6.17,1.35904,0.617
6.18,1.3195,0.618
6.19,1.26876,0.619
6.2,1.21016,0.62
6.21,1.14581,0.621
6.22,1.0761,0.622
6.23,0.99965,0.623
6.24,0.91407,0.624
6.25,0.81705,0.625
6.26,0.70742,0.626
6.27,0.58572,0.627
6.28,0.4543,0.628
6.29,0.31701,0.629
6.3,0.17878,0.63
6.31,0.04509,0.631
6.32,-0.07836,0.632
6.33,-0.18608,0.633
6.34,-0.27329,0.634
6.35,-0.33606,0.635
6.36,-0.37209,0.636
6.37,-0.38094,0.637
6.38,-0.3642,0.638
6.39,-0.32506,0.639
6.4,-0.2681,0.64
6.41,-0.19829,0.641
6.42,-0.12042,0.642
6.43,-0.03833,0.643
6.44,0.04526,0.644
6.45,0.12905,0.645
6.46,0.21275,0.646
6.47,0.29699,0.647
6.48,0.38298,0.648
6.49,0.47224,0.649
6.5,0.56613,0.65
6.51,0.66518,0.651
6.52,0.76847,0.652
6.53,0.87315,0.653
6.54,0.9747,0.654
6.55,1.06741,0.655
6.56,1.14615,0.656
6.57,1.2073,0.657
6.58,1.25004,0.658
6.59,1.27622,0.659
6.6,1.28963,0.66
6.61,1.29443,0.661
6.62,1.29391,0.662
6.63,1.2896,0.663
6.64,1.2813,0.664
6.65,1.26768,0.665
6.66,1.24724,0.666
6.67,1.21887,0.667
6.68,1.18214,0.668
6.69,1.13688,0.669
6.7,1.08253,0.67
6.71,1.01799,0.671
6.72,0.94142,0.672
6.73,0.85072,0.673
6.74,0.74424,0.674
6.75,0.62161,0.675
6.76,0.48431,0.676
6.77,0.33562,0.677
6.78,0.18058,0.678
6.79,0.0255,0.679
6.8,-0.12269,0.68
6.81,-0.25677,0.681
6.82,-0.37014,0.682
6.83,-0.45689,0.683
6.84,-0.51257,0.684
6.85,-0.53492,0.685
6.86,-0.52406,0.686
6.87,-0.48306,0.687
6.88,-0.41778,0.688
6.89,-0.33614,0.689
6.9,-0.24702,0.69
6.91,-0.15869,0.691
6.92,-0.07738,0.692
6.93,-0.00629,0.693
6.94,0.05482,0.694
6.95,0.10913,0.695
6.96,0.16175,0.696
6.97,0.21837,0.697
6.98,0.28393,0.698
6.99,0.36187,0.699
7.0,0.45355,0.7
7.01,0.55842,0.701
7.02,0.67433,0.702
7.03,0.7982,0.703
7.04,0.92639,0.704
7.05,1.05522,0.705
7.06,1.18107,0.706
7.07,1.30078,0.707
7.08,1.41158,0.708
7.09,1.51103,0.709
7.1,1.59689,0.71
7.11,1.66706,0.711
7.12,1.7195,0.712
7.13,1.75191,0.713
7.14,1.76215,0.714
7.15,1.74836,0.715
7.16,1.70929,0.716
7.17,1.64468,0.717
7.18,1.55531,0.718
7.19,1.44332,0.719
7.2,1.31224,0.72
7.21,1.16673,0.721
7.22,1.01257,0.722
7.23,0.85639,0.723
7.24,0.70518,0.724
7.25,0.56569,0.725
7.26,0.4434,0.726
7.27,0.34207,0.727
7.28,0.26281,0.728
7.29,0.20424,0.729
7.3,0.16279,0.73
7.31,0.13364,0.731
7.32,0.11172,0.732
7.33,0.09295,0.733
7.34,0.07478,0.734
7.35,0.05652,0.735
7.36,0.03901,0.736
7.37,0.02401,0.737
7.38,0.0136,0.738
7.39,0.00986,0.739
7.4,0.01474,0.74
7.41,0.03029,0.741
7.42,0.05896,0.742
7.43,0.10364,0.743
7.44,0.16715,0.744
7.45,0.25166,0.745
7.46,0.3578,0.746
7.47,0.4841,0.747
7.48,0.62706,0.748
7.49,0.78138,0.749
7.5,0.94091,0.75
7.51,1.09961,0.751
7.52,1.25209,0.752
7.53,1.39403,0.753
7.54,1.52223,0.754
7.55,1.63456,0.755
7.56,1.72963,0.756
7.57,1.80675,0.757
7.58,1.86574,0.758
7.59,1.9065,0.759
7.6,1.92912,0.76
7.61,1.93386,0.761
7.62,1.92118,0.762
7.63,1.89226,0.763
7.64,1.84913,0.764
7.65,1.7947,0.765
7.66,1.73245,0.766
7.67,1.66567,0.767
7.68,1.59661,0.768
7.69,1.5261,0.769
7.7,1.45333,0.77
7.71,1.37604,0.771
7.72,1.29138,0.772
7.73,1.1965,0.773
7.74,1.08915,0.774
7.75,0.96814,0.775
7.76,0.83359,0.776
7.77,0.68695,0.777
7.78,0.53108,0.778
7.79,0.37024,0.779
7.8,0.20948,0.78
7.81,0.05432,0.781
7.82,-0.08992,0.782
7.83,-0.21892,0.783
7.84,-0.32945,0.784
7.85,-0.41948,0.785
7.86,-0.48788,0.786
7.87,-0.53365,0.787
7.88,-0.55572,0.788
7.89,-0.55288,0.789
7.9,-0.52392,0.79
7.91,-0.46825,0.791
7.92,-0.3865,0.792
7.93,-0.28086,0.793
7.94,-0.1549,0.794
7.95,-0.01349,0.795
7.96,0.13811,0.796
7.97,0.29488,0.797
7.98,0.45264,0.798
7.99,0.60864,0.799
8.0,0.76146,0.8
8.01,0.91085,0.801
8.02,1.05742,0.802
8.03,1.20206,0.803
8.04,1.34525,0.804
8.05,1.48682,0.805
8.06,1.62528,0.806
8.07,1.75779,0.807
8.08,1.88042,0.808
8.09,1.98846,0.809
8.1,2.07741,0.81
8.11,2.14355,0.811
8.12,2.18458,0.812
8.13,2.19988,0.813
8.14,2.1901,0.814
8.15,2.15667,0.815
8.16,2.10112,0.816
8.17,2.02463,0.817
8.18,1.92806,0.818
8.19,1.81217,0.819
8.2,1.67834,0.82
8.21,1.52893,0.821
8.22,1.36724,0.822
8.23,1.19738,0.823
8.24,1.02381,0.824
8.25,0.85049,0.825
8.26,0.68096,0.826
8.27,0.518,0.827
8.28,0.36402,0.828
8.29,0.22135,0.829
8.3,0.09253,0.83
8.31,-0.01984,0.831
8.32,-0.11319,0.832
8.33,-0.18566,0.833
8.34,-0.23639,0.834
8.35,-0.26558,0.835
8.36,-0.27442,0.836
8.37,-0.26444,0.837
8.38,-0.23704,0.838
8.39,-0.19309,0.839
8.4,-0.13315,0.84
8.41,-0.05752,0.841
8.42,0.03279,0.842
8.43,0.1356,0.843
8.44,0.24763,0.844
8.45,0.36447,0.845
8.46,0.4816,0.846
8.47,0.5951,0.847
8.48,0.70235,0.848
8.49,0.80251,0.849
8.5,0.89639,0.85
8.51,0.98594,0.851
8.52,1.07381,0.852
8.53,1.16233,0.853
8.54,1.25295,0.854
8.55,1.34562,0.855
8.56,1.43873,0.856
8.57,1.52928,0.857
8.58,1.61346,0.858
8.59,1.687,0.859
8.6,1.74629,0.86
8.61,1.78865,0.861
8.62,1.8127,0.862
8.63,1.81828,0.863
8.64,1.80616,0.864
8.65,1.77789,0.865
8.66,1.73514,0.866
8.67,1.67967,0.867
8.68,1.61309,0.868
8.69,1.53662,0.869
8.7,1.4512,0.87
8.71,1.35762,0.871
8.72,1.2566,0.872
8.73,1.14922,0.873
8.74,1.0373,0.874
8.75,0.92353,0.875
8.76,0.81107,0.876
8.77,0.70318,0.877
8.78,0.60217,0.878
8.79,0.50868,0.879
8.8,0.42144,0.88
8.81,0.33769,0.881
8.82,0.25438,0.882
8.83,0.16958,0.883
8.84,0.08381,0.884
8.85,0.00043,0.885
8.86,-0.07461,0.886
8.87,-0.13398,0.887
8.88,-0.17058,0.888
8.89,-0.17872,0.889
8.9,-0.15508,0.89
8.91,-0.09904,0.891
8.92,-0.01228,0.892
8.93,0.10169,0.893
8.94,0.23811,0.894
8.95,0.39149,0.895
8.96,0.55585,0.896
8.97,0.72525,0.897
8.98,0.89418,0.898
8.99,1.0579,0.899
9.0,1.21263,0.9
9.01,1.35581,0.901
9.02,1.48584,0.902
9.03,1.60207,0.903
9.04,1.70449,0.904
9.05,1.79359,0.905
9.06,1.87017,0.906
9.07,1.9355,0.907
9.08,1.99101,0.908
9.09,2.03811,0.909
9.1,2.07763,0.91
9.11,2.10941,0.911
9.12,2.13164,0.912
9.13,2.1411,0.913
9.14,2.13356,0.914
9.15,2.105,0.915
9.16,2.0529,0.916
9.17,1.9775,0.917
9.18,1.88223,0.918
9.19,1.77333,0.919
9.2,1.6585,0.92
9.21,1.54497,0.921
9.22,1.43764,0.922
9.23,1.33803,0.923
9.24,1.24395,0.924
9.25,1.15051,0.925
9.26,1.05195,0.926
9.27,0.94333,0.927
9.28,0.82225,0.928
9.29,0.68954,0.929
9.3,0.54902,0.93
9.31,0.40644,0.931
9.32,0.26802,0.932
9.33,0.13892,0.933
9.34,0.02254,0.934
9.35,-0.07984,0.935
9.36,-0.16829,0.936
9.37,-0.24304,0.937
9.38,-0.30354,0.938
9.39,-0.34751,0.939
9.4,-0.37111,0.94
9.41,-0.3697,0.941
9.42,-0.33941,0.942
9.43,-0.27831,0.943
9.44,-0.18767,0.944
9.45,-0.07205,0.945
9.46,0.06131,0.946
9.47,0.20391,0.947
9.48,0.34773,0.948
9.49,0.48674,0.949
9.5,0.61779,0.95
9.51,0.74077,0.951
9.52,0.85768,0.952
9.53,0.97147,0.953
9.54,1.08429,0.954
9.55,1.19653,0.955
9.56,1.30663,0.956
9.57,1.41146,0.957
9.58,1.50736,0.958
9.59,1.59118,0.959
9.6,1.66074,0.96
9.61,1.71495,0.961
9.62,1.75346,0.962
9.63,1.77616,0.963
9.64,1.78299,0.964
9.65,1.7742,0.965
9.66,1.75058,0.966
9.67,1.71342,0.967
9.68,1.66444,0.968
9.69,1.60527,0.969
9.7,1.53707,0.97
9.71,1.46008,0.971
9.72,1.374,0.972
9.73,1.27844,0.973
9.74,1.17363,0.974
9.75,1.06093,0.975
9.76,0.9432,0.976
9.77,0.82475,0.977
9.78,0.71061,0.978
9.79,0.60611,0.979
9.8,0.51588,0.98
9.81,0.4429,0.981
9.82,0.38822,0.982
9.83,0.35036,0.983
9.84,0.32587,0.984
9.85,0.31001,0.985
9.86,0.29766,0.986
9.87,0.28477,0.987
9.88,0.26915,0.988
9.89,0.25145,0.989
9.9,0.23505,0.99
9.91,0.22523,0.991
9.92,0.22819,0.992
9.93,0.24944,0.993
9.94,0.2924,0.994
9.95,0.35794,0.995
9.96,0.44417,0.996
9.97,0.54739,0.997
9.98,0.66313,0.998
9.99,0.78726,0.999
10.0,0.9166,1.0
