t,y
5.52,0.75668
5.53,0.84378
5.54,0.92575
5.55,1.00153
5.56,1.07048
5.57,1.13262
5.58,1.18856
5.59,1.2392
5.6,1.28501
5.61,1.32533
5.62,1.3582
5.63,1.38052
5.64,1.38863
5.65,1.37936
5.66,1.35075
5.67,1.30281
5.68,1.23742
5.69,1.15757
5.7,1.06649
5.71,0.96698
5.72,0.86069
5.73,0.74847
5.74,0.63093
5.75,0.50921
5.76,0.38557
5.77,0.26364
5.78,0.14795
5.79,0.04316
5.8,-0.04708
5.81,-0.12081
5.82,-0.17838
5.83,-0.22234
5.84,-0.2564
5.85,-0.28461
5.86,-0.30976
5.87,-0.33263
5.88,-0.35154
5.89,-0.36282
5.9,-0.36203
5.91,-0.34506
5.92,-0.30932
5.93,-0.2542
5.94,-0.18074
5.95,-0.09105
5.96,0.01233
5.97,0.1268
5.98,0.24955
5.99,0.37756
6.0,0.50688
6.01,0.63312
6.02,0.75173
6.03,0.85883
6.04,0.9519
6.05,1.03026
6.06,1.09494
6.07,1.14842
6.08,1.19387
6.09,1.23442
6.1,1.27237
6.11,1.30848
6.12,1.34176
6.13,1.36961
6.14,1.38824
6.15,1.39401
6.16,1.38444
6.17,1.35904
6.18,1.3195
6.19,1.26876
6.2,1.21016
6.21,1.14581
6.22,1.0761
6.23,0.99965
6.24,0.91407
6.25,0.81705
6.26,0.70742
6.27,0.58572
6.28,0.4543
6.29,0.31701
6.3,0.17878
6.31,0.04509
6.32,-0.07836
6.33,-0.18608
6.34,-0.27329
6.35,-0.33606
6.36,-0.37209
6.37,-0.38094
6.38,-0.3642
6.39,-0.32506
6.4,-0.2681
6.41,-0.19829
6.42,-0.12042
6.43,-0.03833
6.44,0.04526
6.45,0.12905
6.46,0.21275
6.47,0.29699
6.48,0.38298
6.49,0.47224
6.5,0.56613
6.51,0.66518
6.52,0.76847
6.53,0.87315
6.54,0.9747
6.55,1.06741
6.56,1.14615
6.57,1.2073
6.58,1.25004
6.59,1.27622
6.6,1.28963
6.61,1.29443
6.62,1.29391
6.63,1.2896
6.64,1.2813
6.65,1.26768
6.66,1.24724
6.67,1.21887
6.68,1.18214
6.69,1.13688
6.7,1.08253
6.71,1.01799
6.72,0.94142
6.73,0.85072
6.74,0.74424
6.75,0.62161
6.76,0.48431
6.77,0.33562
6.78,0.18058
6.79,0.0255
6.8,-0.12269
6.81,-0.25677
6.82,-0.37014
6.83,-0.45689
6.84,-0.51257
6.85,-0.53492
6.86,-0.52406
6.87,-0.48306
6.88,-0.41778
6.89,-0.33614
6.9,-0.24702
6.91,-0.15869
6.92,-0.07738
6.93,-0.00629
6.94,0.05482
6.95,0.10913
6.96,0.16175
6.97,0.21837
6.98,0.28393
6.99,0.36187
7.0,0.45355
7.01,0.55842
7.02,0.67433
7.03,0.7982
7.04,0.92639
7.05,1.05522
7.06,1.18107
7.07,1.30078
7.08,1.41158
7.09,1.51103
7.1,1.59689
7.11,1.66706
7.12,1.7195
7.13,1.75191
7.14,1.76215
7.15,1.74836
7.16,1.70929
7.17,1.64468
7.18,1.55531
7.19,1.44332
7.2,1.31224
7.21,1.16673
7.22,1.01257
7.23,0.85639
7.24,0.70518
7.25,0.56569
7.26,0.4434
7.27,0.34207
7.28,0.26281
7.29,0.20424
7.3,0.16279
7.31,0.13364
7.32,0.11172
7.33,0.09295
7.34,0.07478
7.35,0.05652
7.36,0.03901
7.37,0.02401
7.38,0.0136
7.39,0.00986
7.4,0.01474
7.41,0.03029
7.42,0.05896
7.43,0.10364
7.44,0.16715
7.45,0.25166
7.46,0.3578
7.47,0.4841
7.48,0.62706
7.49,0.78138
7.5,0.94091
7.51,1.09961
7.52,1.25209
7.53,1.39403
7.54,1.52223
7.55,1.63456
7.56,1.72963
7.57,1.80675
7.58,1.86574
7.59,1.9065
7.6,1.92912
7.61,1.93386
7.62,1.92118
7.63,1.89226
7.64,1.84913
7.65,1.7947
7.66,1.73245
7.67,1.66567
7.68,1.59661
7.69,1.5261
7.7,1.45333
7.71,1.37604
7.72,1.29138
7.73,1.1965
7.74,1.08915
7.75,0.96814
7.76,0.83359
7.77,0.68695
7.78,0.53108
7.79,0.37024
7.8,0.20948
7.81,0.05432
7.82,-0.08992
7.83,-0.21892
7.84,-0.32945
7.85,-0.41948
7.86,-0.48788
7.87,-0.53365
7.88,-0.55572
7.89,-0.55288
7.9,-0.52392
7.91,-0.46825
7.92,-0.3865
7.93,-0.28086
7.94,-0.1549
7.95,-0.01349
7.96,0.13811
7.97,0.29488
7.98,0.45264
7.99,0.60864
8.0,0.76146
8.01,0.91085
8.02,1.05742
8.03,1.20206
8.04,1.34525
8.05,1.48682
8.06,1.62528
8.07,1.75779
8.08,1.88042
8.09,1.98846
8.1,2.07741
8.11,2.14355
8.12,2.18458
8.13,2.19988
8.14,2.1901
8.15,2.15667
8.16,2.10112
8.17,2.02463
8.18,1.92806
8.19,1.81217
8.2,1.67834
8.21,1.52893
8.22,1.36724
8.23,1.19738
8.24,1.02381
8.25,0.85049
8.26,0.68096
8.27,0.518
8.28,0.36402
8.29,0.22135
8.3,0.09253
8.31,-0.01984
8.32,-0.11319
8.33,-0.18566
8.34,-0.23639
8.35,-0.26558
8.36,-0.27442
8.37,-0.26444
8.38,-0.23704
8.39,-0.19309
8.4,-0.13315
8.41,-0.05752
8.42,0.03279
8.43,0.1356
8.44,0.24763
8.45,0.36447
8.46,0.4816
8.47,0.5951
8.48,0.70235
8.49,0.80251
8.5,0.89639
8.51,0.98594
8.52,1.07381
8.53,1.16233
8.54,1.25295
8.55,1.34562
8.56,1.43873
8.57,1.52928
8.58,1.61346
8.59,1.687
8.6,1.74629
8.61,1.78865
8.62,1.8127
8.63,1.81828
8.64,1.80616
8.65,1.77789
8.66,1.73514
8.67,1.67967
8.68,1.61309
8.69,1.53662
8.7,1.4512
8.71,1.35762
8.72,1.2566
8.73,1.14922
8.74,1.0373
8.75,0.92353
8.76,0.81107
8.77,0.70318
8.78,0.60217
8.79,0.50868
8.8,0.42144
8.81,0.33769
8.82,0.25438
8.83,0.16958
8.84,0.08381
8.85,0.00043
8.86,-0.07461
8.87,-0.13398
8.88,-0.17058
8.89,-0.17872
8.9,-0.15508
8.91,-0.09904
8.92,-0.01228
8.93,0.10169
8.94,0.23811
8.95,0.39149
8.96,0.55585
8.97,0.72525
8.98,0.89418
8.99,1.0579
9.0,1.21263
9.01,1.35581
9.02,1.48584
9.03,1.60207
9.04,1.70449
9.05,1.79359
9.06,1.87017
9.07,1.9355
9.08,1.99101
9.09,2.03811
9.1,2.07763
9.11,2.10941
9.12,2.13164
9.13,2.1411
9.14,2.13356
9.15,2.105
9.16,2.0529
9.17,1.9775
9.18,1.88223
9.19,1.77333
9.2,1.6585
9.21,1.54497
9.22,1.43764
9.23,1.33803
9.24,1.24395
9.25,1.15051
9.26,1.05195
9.27,0.94333
9.28,0.82225
9.29,0.68954
9.3,0.54902
9.31,0.40644
9.32,0.26802
9.33,0.13892
9.34,0.02254
9.35,-0.07984
9.36,-0.16829
9.37,-0.24304
9.38,-0.30354
9.39,-0.34751
9.4,-0.37111
9.41,-0.3697
9.42,-0.33941
9.43,-0.27831
9.44,-0.18767
9.45,-0.07205
9.46,0.06131
9.47,0.20391
9.48,0.34773
9.49,0.48674
9.5,0.61779
9.51,0.74077
9.52,0.85768
9.53,0.97147
9.54,1.08429
9.55,1.19653
9.56,1.30663
9.57,1.41146
9.58,1.50736
9.59,1.59118
9.6,1.66074
9.61,1.71495
9.62,1.75346
9.63,1.77616
9.64,1.78299
9.65,1.7742
9.66,1.75058
9.67,1.71342
9.68,1.66444
9.69,1.60527
9.7,1.53707
9.71,1.46008
9.72,1.374
9.73,1.27844
9.74,1.17363
9.75,1.06093
9.76,0.9432
9.77,0.82475
9.78,0.71061
9.79,0.60611
9.8,0.51588
9.81,0.4429
9.82,0.38822
9.83,0.35036
9.84,0.32587
9.85,0.31001
9.86,0.29766
9.87,0.28477
9.88,0.26915
9.89,0.25145
9.9,0.23505
9.91,0.22523
9.92,0.22819
9.93,0.24944
9.94,0.2924
9.95,0.35794
9.96,0.44417
9.97,0.54739
9.98,0.66313
9.99,0.78726
10.0,0.9166
